annee_candidature;numero_candidat;classement;nom;prenom;sexe;date_naissance;nationalite;code_postal;ville;pays;boursier;profil_candidat;numero_ine;type_etablissement;libelle_etablissement;commune_etablissement;departement_etablissement;pays_etablissement;niveau_etudes_actuel;type_formation;serie;dominante;specialite;lv1;lv2;diplome;diplome_serie;diplome_dominante;diplome_specialite;diplome_mention;diplome_mois_annee_obtention_bac
2017-2018;418779;ECF;LEVILLAIN;August;M;1999-09-23;FR;35690;Acigné;France;Non boursier;En Terminale;I623395840W;Lycée sans classe postbac;Lycée Sevigne;Cesson-Sévigné;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2017-2018;1119486;ECF;LEVY;Constant;M;1996-09-09;FR;14500;Maisoncelles-la-Jourdan;France;Non boursier;Scolarisé dans le supérieur en France;T057658237E;Université;Université de Caen Normandie;Caen;14;France;1ère année d'études supérieures;Licences;Licence - Sciences - technologies - santé;;Mathématiques;;;Bac français obtenu;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;Admis mention Assez Bien;juil-14   
2017-2018;720240;ECF;LIBERT;Nimbus;M;1999-02-15;FR;22400;Lamballe;France;Non boursier;En Terminale;S737548288M;Lycée sans classe postbac;Lycée professionnel De La Fontaine Des Eaux;Dinan;22;France;Terminale;Terminale;P;;Commerce;Anglais;Espagnol;Bac en préparation;Professionnelle;;Commerce;;
2017-2018;441579;ECF;LOISEL;Léonce;M;1999-03-08;FR;56000;Vannes;France;Non boursier;En Terminale;W241857394S;Lycée à classe postbac;Lycée Alain René Lesage;Vannes;56;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2017-2018;349514;ECF;LONG;Tristen;M;1998-07-09;FR;35490;Sens-de-Bretagne;France;Non boursier;En Terminale;Q669654111C;Lycée à classe postbac;Lycée Joliot-Curie;Rennes;35;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Allemand;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2017-2018;559540;ECF;LONG;Warner;M;1998-01-02;FR;22000;Saint-Brieuc;France;Non boursier;En Terminale;I513431224U;Lycée à classe postbac;Lycée Sacre Coeur;Saint-Brieuc;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2017-2018;556761;ECF;LONG;Xerxes;M;1999-04-03;FR;35310;Cintré;France;Non boursier;En Terminale;U738311108W;Lycée à classe postbac;Lycée Frédéric OZANAM;Cesson-Sévigné;35;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2017-2018;1200154;ECF;LOYER;Mick;M;1997-01-26;FR;35136;Saint-Jacques-de-la-Lande;France;Boursier de l'enseignement supérieur;Scolarisé dans le supérieur en France;F385917288Z;I.U.T;I.U.T de Rennes;Rennes;35;France;1ère année d'études supérieures;DUT;DUT - Production;;Génie électrique et informatique industrielle;;;Bac français obtenu;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;Admis sans mention;juil-16   
2017-2018;761956;ECF;LOYER;Oli;M;1998-04-21;FR;53970;Montigné-le-Brillant;France;Non boursier;En Terminale;C418777778N;Lycée à classe postbac;Lycée Reaumur;Laval;53;France;Terminale;Terminale;STI2D;;Energies et environnement;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Energies et environnement;;
2017-2018;761361;ECF;LUTZ;Marlin;M;1999-06-28;FR;22830;Plouasne;France;Boursier du secondaire;En Terminale;G749454452D;Lycée à classe postbac;Lycée De La Fontaine Des Eaux;Dinan;22;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2017-2018;533918;ECF;LUX;Kip;M;1999-10-14;FR;35300;Fougères;France;Non boursier;En Terminale;N591373447P;Lycée à classe postbac;Lycée Jean Guehenno;Fougères;35;France;Terminale;Terminale;S;Sciences de l'ingénieur;Mathématiques;Anglais;Italien;Bac en préparation;Scientifique;Sciences de l'ingénieur;Mathématiques;;
2017-2018;402895;ECF;LUX;Myron;M;1999-09-22;FR;56690;Landévant;France;Non boursier;En Terminale;S252214845Y;Lycée à classe postbac;Lycée Benjamin Franklin;Auray;56;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2017-2018;1194738;ECF;MACE;Elric;M;1997-07-23;FR;29470;Plougastel-Daoulas;France;Non boursier;Scolarisé dans le supérieur en France;Y260353765X;Ecole;ISEN Brest;Brest;29;France;1ère année d'études supérieures;Formations d'ingénieurs;Cycle informatique et réseaux;;;;;Bac français obtenu;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;Admis mention Assez Bien;juil-16   
2017-2018;171688;R;MACE;Raphaël;M;1999-04-19;FR;29000;Quimper;France;Boursier du secondaire;En Terminale;Q319337762D;Lycée à classe postbac;Lycée Le Likès;Quimper;29;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2017-2018;1139017;ECF;MAES;Casimir;M;1995-09-09;FR;56100;Lorient;France;Non boursier;Non scolarisé;Y633941545Z;;;;;;;;;;;;;Bac français obtenu;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;Admis mention Assez Bien;juil-13   
2017-2018;556743;ECF;MAGNAN;Ivor;M;1999-04-25;FR;35220;Châteaubourg;France;Non boursier;En Terminale;A015224544H;Lycée à classe postbac;Lycée Frédéric OZANAM;Cesson-Sévigné;35;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2017-2018;587473;ECF;MAGNIER;Trueman;M;1999-03-30;FR;35780;La Richardais;France;Non boursier;En Terminale;F309973912S;Lycée à classe postbac;Lycée Maupertuis;Saint-Malo;35;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2017-2018;807440;ECF;MAHIEU;Cuthbert;M;1999-12-24;FR;35310;Saint-Thurial;France;Non boursier;En Terminale;H088267782C;Lycée sans classe postbac;Lycée La Providence;Montauban-de-Bretagne;35;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Allemand;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2017-2018;761591;ECF;MAILLE;Earl;M;1999-06-20;FR;22100;Trélivan;France;Non boursier;En Terminale;W332986656R;Lycée à classe postbac;Lycée De La Fontaine Des Eaux;Dinan;22;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2017-2018;407320;ECF;MAILLET;Vance;M;1999-08-25;FR;22800;Quintin;France;Non boursier;En Terminale;J768965657X;Lycée à classe postbac;Lycée Chaptal;Saint-Brieuc;22;France;Terminale;Terminale;STI2D;;Innovation Technologique et Eco conception;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2017-2018;424088;ECF;MAIRE;Luther;M;1997-12-20;FR;29200;Brest;France;Non boursier;En Terminale;Y440358786L;Lycée à classe postbac;Lycée Vauban;Brest;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2017-2018;319196;ECF;MAIRE;Prince;M;1999-06-22;FR;28500;Vernouillet;France;Non boursier;En Terminale;Q124731212H;Lycée sans classe postbac;Lycée St Pierre St Paul;Dreux;28;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2017-2018;806536;ECF;MAISON;Michael;M;1999-12-07;FR;29270;Cléden-Poher;France;Non boursier;En Terminale;O885136729Q;Lycée à classe postbac;Lycée Paul Sérusier;Carhaix-Plouguer;29;France;Terminale;Terminale;STI2D;;Energies et environnement;Anglais;Allemand;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Energies et environnement;;
2017-2018;194383;ECF;MAISON;Zack;M;1999-02-04;FR;56140;Saint-Marcel;France;Boursier du secondaire;En Terminale;S824927533Z;Lycée à classe postbac;Lycée La Mennais;Ploërmel;56;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2017-2018;833442;ECF;MALET;Thibault;M;1999-03-06;FR;35370;Argentré-du-Plessis;France;Non boursier;En Terminale;A243005795J;Lycée à classe postbac;Lycée Bertrand D'Argentre;Vitré;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2017-2018;587502;ECF;MARAIS;Forest;M;1999-07-06;FR;35400;Saint-Malo;France;Non boursier;En Terminale;X766304372P;Lycée à classe postbac;Lycée Maupertuis;Saint-Malo;35;France;Terminale;Terminale;STI2D;;Innovation Technologique et Eco conception;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Innovation Technologique et Eco conception;;
2017-2018;163185;ECF;MARCEL;Sly;M;1999-03-21;FR;50270;Barneville-Carteret;France;Non boursier;En Terminale;X415605120Z;Lycée à classe postbac;Lycée Alexis De Tocqueville;Cherbourg-en-Cotentin;50;France;Terminale;Terminale;S;Sciences de l'ingénieur;Physique-chimie;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de l'ingénieur;Physique-chimie;;
2017-2018;377393;ECF;MARCHAIS;Davis;M;1999-09-28;FR;35230;Bourgbarré;France;Boursier du secondaire;En Terminale;O659194535Y;Lycée à classe postbac;Lycée Bréquigny;Rennes;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2017-2018;441717;ECF;MARCON;Izzy;M;1999-07-06;FR;56860;Séné;France;Non boursier;En Terminale;S208805762C;Lycée à classe postbac;Lycée Alain René Lesage;Vannes;56;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2017-2018;761556;ECF;MARION;Edric;M;1999-08-23;FR;22100;Léhon;France;Non boursier;En Terminale;T566282505W;Lycée à classe postbac;Lycée De La Fontaine Des Eaux;Dinan;22;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2017-2018;171584;ECF;MARION;Totty;F;2000-04-22;FR;29910;Trégunc;France;Boursier du secondaire;En Terminale;F233361158X;Lycée à classe postbac;Lycée Le Likès;Quimper;29;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2017-2018;174266;ECF;MARQUIS;Wilson;M;1999-11-04;FR;22200;Grâces;France;Non boursier;En Terminale;T914665769H;Lycée à classe postbac;Lycée Auguste Pavie;Guingamp;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2017-2018;647684;ECF;MARTEAU;Inigo;M;1998-04-18;FR;29910;Trégunc;France;Non boursier;En Terminale;D152626125L;Lycée à classe postbac;Lycée Yves Thepot;Quimper;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2017-2018;1120529;ECF;MARTEL;Edwin;M;1998-07-10;FR;22190;Plérin;France;Non boursier;Scolarisé dans le supérieur en France;X259787124F;Lycée à classe postbac;Lycée Francois Rabelais;Saint-Brieuc;22;France;1ère année d'études supérieures;CPGE;Classe préparatoire scientifique;;PCSI;;;Bac français obtenu;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;Admis mention Assez Bien;juil-16   
2017-2018;805735;ECF;MARTINI;Darryl;M;1997-07-06;FR;22940;Saint-Julien;France;Non boursier;En Terminale;J502750876R;Lycée à classe postbac;Lycée Francois Rabelais;Saint-Brieuc;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2017-2018;1076307;ECF;MARTINI;Eleonor;F;1997-10-12;FR;56000;Vannes;France;Non boursier;Scolarisé dans le supérieur en France;H347321437D;Lycée à classe postbac;Lycée Alain René Lesage;Vannes;56;France;1ère année d'études supérieures;BTS - BTSA;BTS - Services;;Comptabilité et gestion;;;Bac français obtenu;Sciences et Technologies du Management et de la Gestion;;Gestion et Finance;Admis mention Assez Bien;juil-16   
2017-2018;275621;ECF;MASSE;Colten;M;1999-03-14;FR;22000;Saint-Brieuc;France;Non boursier;En Terminale;H879333627N;Lycée sans classe postbac;Lycée Saint-Charles;Saint-Brieuc;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2017-2018;153812;ECF;MASSE;Emerson;M;1999-04-13;FR;29830;Plouguin;France;Non boursier;En Terminale;G231822748B;Lycée à classe postbac;Lycée La Croix Rouge;Brest;29;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2017-2018;679568;ECF;MASSE;Esmond;M;1999-02-25;FR;61250;Valframbert;France;Non boursier;En Terminale;H078600710D;Lycée à classe postbac;Lycée Alain;Alençon;61;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2017-2018;600855;ECF;MASSET;Chandler;M;1999-06-10;FR;29390;Scaër;France;Boursier du secondaire;En Terminale;O261110441R;Lycée à classe postbac;Lycée St Joseph - LaSalle Lorient;Lorient;56;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2017-2018;340203;ECF;MASSOT;Goodwin;M;1998-01-30;FR;29280;Plouzané;France;Non boursier;En Terminale;C387514107H;Lycée sans classe postbac;Lycée St Francois - Notre Dame;Lesneven;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Allemand;Bac français obtenu;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;Admis sans mention;juil-16   
2017-2018;577086;ECF;MATHIAS;Cliff;M;1999-03-02;FR;35200;Rennes;France;Non boursier;En Terminale;Y747644682K;Lycée à classe postbac;Lycée Pierre Mendes France;Rennes;35;France;Terminale;Terminale;STI2D;;Innovation Technologique et Eco conception;Anglais;Allemand;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Innovation Technologique et Eco conception;;
2017-2018;430941;ECF;MATHIAS;Thierry;M;1999-02-23;FR;56370;Sarzeau;France;Non boursier;En Terminale;H721347887U;Lycée à classe postbac;Lycée St Paul;Vannes;56;France;Terminale;Terminale;ES;;Mathématiques;Anglais;Allemand;Bac en préparation;Economique et social;;Mathématiques;;
2017-2018;374846;ECF;MATHIS;Abel;M;1999-01-25;FR;56100;Lorient;France;Boursier du secondaire;En Terminale;O631254406K;Lycée à classe postbac;Lycée Jean-Baptiste Colbert;Lorient;56;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2017-2018;855310;ECF;MATTEI;Harmon;M;1998-08-13;FR;35360;Montauban-de-Bretagne;France;Non boursier;En Terminale;U448876114C;Lycée sans classe postbac;Lycée Frédéric OZANAM;Cesson-Sévigné;35;France;Terminale;Terminale;STMG;;Mercatique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies du Management et de la Gestion;;Mercatique;;
2017-2018;1153435;ECF;MAUGER;Abraham;M;1998-07-23;FR;44190;Gétigné;France;Non boursier;Scolarisé dans le supérieur en France;B207923077X;Université;Université de Nantes;Nantes;44;France;1ère année d'études supérieures;Licences;Licence - Sciences - technologies - santé;;Informatique;;;Bac français obtenu;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;Admis sans mention;juil-16   
2017-2018;445460;ECF;MAUREL;Deon;M;1998-12-16;FR;98735;Uturoa;Polynésie Française;Boursier du secondaire;En Terminale;S990433579W;Lycée sans classe postbac;Collège A-M JAVOUHEY (UTUROA);Uturoa;987;France;Terminale;Terminale;STI2D;;Energies et environnement;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Energies et environnement;;
2017-2018;647729;ECF;MAURY;Launce;M;1999-08-23;FR;29510;Briec;France;Non boursier;En Terminale;I618183684R;Lycée à classe postbac;Lycée Yves Thepot;Quimper;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Allemand;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2017-2018;688381;ECF;MAZE;Derek;M;1999-05-25;FR;29280;Locmaria-Plouzané;France;Non boursier;En Terminale;Q133223261X;Lycée à classe postbac;Lycée Sainte Anne;Brest;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2017-2018;171446;ECF;MAZOYER;Elmer;M;1998-03-10;FR;29000;Quimper;France;Non boursier;En Terminale;V668291786Q;Lycée à classe postbac;Lycée Le Likès;Quimper;29;France;Terminale;Terminale;STI2D;;Architecture et construction;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Architecture et construction;;
2017-2018;725863;ECF;MELIN;Corentin;M;1999-06-19;FR;35580;Lassy;France;Non boursier;En Terminale;Z364199856R;Lycée sans classe postbac;Lycée Anita Conti;Bruz;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2017-2018;386019;ECF;MENAGER;Cleve;M;2000-03-11;FR;22640;Plestan;France;Non boursier;En Terminale;B798089085W;Lycée sans classe postbac;Lycée St Joseph;Lamballe;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2017-2018;431315;ECF;MENAGER;Harrison;M;1999-11-06;FR;29300;Tréméven;France;Non boursier;En Terminale;E755147276Y;Lycée à classe postbac;Lycée de Kerneuzec;Quimperlé;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2017-2018;171742;ECF;MERLE;Damian;M;1999-09-05;FR;29000;Quimper;France;Non boursier;En Terminale;C226803026D;Lycée à classe postbac;Lycée Le Likès;Quimper;29;France;Terminale;Terminale;S;Sciences de l'ingénieur;Pas de spécialité (S.I);Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Pas de spécialité (S.I);;
2017-2018;1046914;ECF;MERLE;Merv;M;1997-11-04;FR;29620;Lanmeur;France;Non boursier;Non scolarisé;M486753396E;;;;;;;;;;;;;Bac français obtenu;Scientifique;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;Admis sans mention;juil-16   
2017-2018;441702;ECF;MESSAGER;Oz;M;1999-04-20;FR;56860;Séné;France;Non boursier;En Terminale;T923958177R;Lycée à classe postbac;Lycée Alain René Lesage;Vannes;56;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2017-2018;158046;ECF;METAIS;Lemoine;M;1999-12-02;FR;50750;Quibou;France;Non boursier;En Terminale;Q449683383J;Lycée à classe postbac;Lycée Curie-Corot;Saint-Lô;50;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2017-2018;504346;ECF;METIVIER;Gabe;M;1999-05-12;FR;22810;Plounévez-Moëdec;France;Non boursier;En Terminale;Q482683557L;Lycée à classe postbac;Lycée Tristan Corbiere;Morlaix;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2017-2018;731194;ECF;METIVIER;Tristram;M;1998-01-15;FR;22700;Perros-Guirec;France;Non boursier;En Terminale;L779247328E;Lycée à classe postbac;Lycée Felix Le Dantec;Lannion;22;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2017-2018;194453;ECF;METZGER;Aldous;M;1999-06-03;FR;56800;Ploërmel;France;Non boursier;En Terminale;X529882307I;Lycée à classe postbac;Lycée La Mennais;Ploërmel;56;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Allemand;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2017-2018;845462;ECF;MEVEL;Edith;F;1999-12-15;FR;44700;Orvault;France;Non boursier;En Terminale;E825838255U;Lycée à classe postbac;Lycée Nicolas Appert;Orvault;44;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;Allemand;Anglais;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;;
2017-2018;683156;ECF;MICHELET;Mariah;F;1999-04-10;FR;29200;Brest;France;Non boursier;En Terminale;P684222114E;Lycée sans classe postbac;Lycée DE L'IROISE;Brest;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2017-2018;682964;ECF;MICHELET;Thurstan;M;1998-04-29;FR;29200;Brest;France;Boursier du secondaire;En Terminale;A873661093U;Lycée sans classe postbac;Lycée DE L'IROISE;Brest;29;France;Terminale;Terminale;ES;;Mathématiques;Anglais;Espagnol;Bac en préparation;Economique et social;;Mathématiques;;
2017-2018;1201361;ECF;MILLE;Benoit;M;1997-02-26;FR;56000;Vannes;France;Non boursier;Scolarisé dans le supérieur en France;G238389055V;Université;Université de Rennes 1;Rennes;35;France;1ère année d'études supérieures;Licences;Licence - Sciences - technologies - santé;;PACES - Médecine, Pharmacie, Odontologie (dentiste), Maïeutique (sage-femmes);;;Bac français obtenu;Scientifique;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;Admis mention Bien;juil-15   
2017-2018;598255;ECF;MILLON;Talbot;M;1999-07-25;FR;44240;La Chapelle-sur-Erdre;France;Non boursier;En Terminale;L254659386L;Lycée à classe postbac;Lycée Gaspard Monge - La Chauvinière;Nantes;44;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2017-2018;142100;ECF;MILLOT;Dayton;M;1999-10-21;FR;22740;Pleudaniel;France;Non boursier;En Terminale;S894011507F;Lycée à classe postbac;Lycée-Collège NOTRE-DAME;Guingamp;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Physique-chimie;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;;
2017-2018;432724;ECF;MILLOT;Philo;M;1999-09-27;FR;56460;Sérent;France;Non boursier;En Terminale;N525252543G;Lycée à classe postbac;Lycée Broceliande;Guer;56;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Physique-chimie;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;;
2017-2018;1186388;ECF;MILON;Sullivan;M;1998-10-16;FR;86100;Châtellerault;France;Non boursier;Scolarisé dans le supérieur en France;C230285522F;Université;Université de Poitiers;Poitiers;86;France;1ère année d'études supérieures;Licences;Licence - Sciences - technologies - santé;;Informatique;;;Bac français obtenu;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Admis sans mention;juil-16   
2017-2018;589756;ECF;MINET;Micheal;M;1998-09-25;FR;22120;Yffiniac;France;Non boursier;En Terminale;J251103372K;Lycée sans classe postbac;Lycée St Pierre;Saint-Brieuc;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2017-2018;194271;ENCF;MOINE;Damien;M;1999-12-20;FR;56490;Ménéac;France;Boursier du secondaire;En Terminale;K260065201L;Lycée à classe postbac;Lycée La Mennais;Ploërmel;56;France;Terminale;Terminale;S;Sciences de l'ingénieur;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Mathématiques;;
2017-2018;191291;ECF;MOINE;Jem;M;1998-08-26;FR;76000;Rouen;France;Non boursier;En Terminale;J487268733W;Lycée sans classe postbac;Lycée Jean-Baptiste De La Salle;Rouen;76;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Physique-chimie;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;;
2017-2018;335581;ECF;MOISAN;Fred;M;1999-09-28;FR;67117;Furdenheim;France;Non boursier;En Terminale;V432191539J;Lycée à classe postbac;Lycée Fustel De Coulanges;Strasbourg;67;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2017-2018;1255189;ECF;MOLINA;Reggie;M;1995-09-29;FR;29600;Sainte-Sève;France;Non boursier;Non scolarisé;B524952512Q;;;;;;;;;;;;;Bac français obtenu;Sciences et Technologies de l'Industrie et du Développement Durable;;Innovation Technologique et Eco conception;Admis sans mention;juil-13   
