annee_univ;no_semestre;code_nip;rg;civilite;nom;prenom;bac;groupe_td_1a;groupe_tp_1a;moy;ue21;m2101;m2102;m2103;m2104;m2105;m2106;m2107;ue22;m2201;m2202;m2203;m2204;m2205;m2206;m2207;l2sportf;l2lv2_f
2016-2017;S2;59569821006;35;M.;HENRIOT;Roch;S;F;F2;13,08;13,66;11,07;12,75;17,67;15,38;9,43;10,00;17,00;12,41;12,38;9,63;13,06;11,67;13,17;12,69;15,34;NI;NI
2018-2019;S2;25871176283;98;M.;MONIER;Cleveland;S;H;H1;10,57;9,61;7,50;8,25;11,15;6,25;10,50;9,33;13,00;11,67;12,33;7,00;12,42;13,67;13,17;12,34;10,17;NI;NI
2017-2018;S2;25871176283;97;M.;MONIER;Cleveland;S;G;G2;9,01;8,44;3,00;7,63;9,75;9,42;10,02;5,33;11,50;9,67;9,44;7,00;9,08;11,00;11,17;11,06;9,63;NI;NI
2016-2017;S2;18949308387;31;M.;CAZENAVE;Constant;S;I;I1;14,65;15,91;4,58;17,25;18,67;18,83;16,88;13,66;16,50;13,21;13,25;11,63;11,66;9,33;14,52;16,81;15,76;NI;NI
2016-2017;S2;34534167451;56;M.;NICOL;Horsa;TI2D;F;F2;10,75;10,79;13,33;7,50;14,50;11,40;11,99;3,28;12,00;10,71;-c-;-c-;-c-;-c-;-c-;-c-;-c-;NI;NI
2017-2018;S2;41846064486;1;Mme;GUILLAUD;Adeline;S;F;F2;20,00;14,44;13,17;15,38;14,31;15,00;13,13;15,50;14,50;12,23;10,00;9,00;12,36;12,00;17,08;13,25;14,38;20,00;NI
2017-2018;S2;77165305782;92;M.;MURAT;Porter;S;F;F2;10,02;9,39;5,42;7,88;9,06;8,08;11,37;11,00;11,25;10,75;8,56;11,00;11,33;10,00;13,58;10,38;11,75;NI;NI
2017-2018;S2;36446174920;1;M.;MACE;Raphaël;S;G;G1;20,00;13,74;13,67;15,00;17,44;13,00;11,26;11,67;13,00;13,06;14,67;16,00;12,43;9,50;15,33;11,19;11,63;NI;16,00
2017-2018;S2;63532178472;35;M.;LAVILLE;Jermaine;S;I;I2;13,91;14,39;16,42;15,50;14,75;15,00;14,91;16,00;8,00;13,37;16,72;12,00;12,42;10,50;13,67;12,44;16,75;NI;NI
2017-2018;S2;41950017433;1;M.;NOWAK;Abner;S;F;F2;20,00;17,36;20,00;18,00;18,25;15,92;16,98;18,67;14,00;16,08;18,33;19,00;14,13;14,67;18,25;13,28;16,38;NI;14,00
2017-2018;S2;42234921052;1;M.;GODIN;Sheldon;TI2D;F;F1;20,00;12,58;8,08;14,75;14,88;13,83;13,01;13,17;7,50;10,67;8,39;4,00;11,15;10,83;14,75;14,75;11,75;NI;12,00
2016-2017;S2;42234921052;76;M.;GODIN;Sheldon;TI2D;F;F1;9,01;9,46;4,87;8,50;10,42;10,42;8,24;7,28;15,00;8,50;3,88;4,13;7,04;11,67;11,50;12,72;13,35;NI;NI
2016-2017;S2;47511525604;1;M.;AUFFRET;Howard;31.0;H;H2;20,00;11,60;9,73;11,00;16,08;11,10;7,87;9,93;13,00;10,46;6,63;14,50;9,52;6,33;13,22;10,72;16,18;17,00;NI
2018-2019;S2;41164803627;1;Mme;GABORIT;Eveleen;ST2S;H;H1;20,00;10,48;4,70;17,50;10,15;8,17;11,63;9,33;13,00;10,63;10,11;8,00;13,05;6,00;13,50;10,19;13,67;10,00;NI
2018-2019;S2;30284447243;71;M.;BIGOT;Cyril;S;G;G2;11,97;11,95;9,27;7,63;12,35;9,67;15,17;13,01;14,00;12,00;14,78;9,00;13,00;12,67;11,17;11,28;10,08;NI;NI
2018-2019;S2;55352248071;1;M.;MIGNOT;Morton;S;G;G2;20,00;13,21;9,70;12,50;13,25;13,17;14,92;13,36;14,00;13,20;11,50;9,00;14,97;13,50;14,00;14,16;16,50;14,00;NI
2018-2019;S2;62268433886;1;M.;GEORGET;David;S;G;G1;20,00;11,74;6,53;15,00;10,50;11,17;13,63;14,33;10,50;13,59;13,11;14,00;12,72;12,33;16,33;12,47;17,08;19,00;NI
2018-2019;S2;43306816013;66;M.;PELE;Grant;S;I;I1;12,26;10,39;5,13;10,00;10,50;10,00;12,79;10,15;12,25;14,39;13,72;10,00;15,15;13,33;17,17;16,47;14,83;NI;NI
2018-2019;S2;24314225826;107;M.;RENAUDIN;Dennis;TI2D;H;H1;10,18;9,96;6,40;10,50;9,45;7,50;10,42;13,68;11,00;10,42;6,61;8,00;10,55;10,42;14,83;12,66;12,25;NI;NI
2018-2019;S2;46661124247;88;M.;LEGENDRE;Giffard;S;F;F1;11,15;11,09;9,80;9,75;9,50;11,67;14,26;9,64;13,00;11,21;11,08;6,00;13,25;11,83;11,67;11,13;14,42;NI;NI
2018-2019;S2;54253344875;61;M.;MARZIN;Greig;S;H;H2;12,59;12,54;9,23;12,50;12,60;12,83;14,04;14,68;10,00;12,64;14,22;15,00;13,07;8,83;14,67;11,19;9,00;NI;NI
2018-2019;S2;58750474372;1;M.;CHAZAL;Hewie;S;J;J1;20,00;12,17;6,40;18,50;10,95;12,50;16,08;7,01;15,00;13,00;8,78;11,00;15,45;11,00;15,83;13,59;17,42;15,00;NI
2018-2019;S2;44250874878;63;M.;CAUSSE;David;S;H;H2;12,55;12,12;11,13;16,75;12,30;8,08;11,63;14,32;12,00;13,04;11,67;16,00;13,42;7,00;17,50;11,66;15,17;NI;NI
2018-2019;S2;49224438753;110;M.;ROUTIER;Ferdy;S;G;G1;9,86;10,59;3,43;10,00;10,55;7,00;14,50;12,68;13,50;9,02;10,00;5,00;7,02;7,00;11,67;11,03;14,67;NI;NI
2018-2019;S2;82834312803;37;Mme;GENET;Naomi;S;G;G1;14,22;13,62;14,30;11,25;13,50;12,83;15,13;13,35;14,50;14,90;13,94;15,00;14,85;12,17;15,67;15,69;18,28;NI;NI
2016-2017;S2;46122880460;51;M.;THIBAULT;Benedict;S;H;H2;11,36;11,72;10,91;10,00;10,58;15,93;10,03;8,69;16,25;10,95;12,25;9,00;11,81;7,67;11,63;11,75;10,90;NI;NI
